P054 二十八课-编剧课科目三28
[00:50:34.630–00:50:39.436] 这个主角可以以你们最喜欢写的呃自己。
[00:50:40.070–00:50:40.652] 为原形。
[00:50:42.118–00:50:42.508] 好吧。
[00:50:43.398–00:50:44.236] 先写。
[00:50:45.958–00:50:46.540] 你自己。
[00:50:47.046–00:50:48.716] 或者你自己的一个变种。
[00:50:49.702–00:50:55.820] 你们明白我的意思，对吧？你的一个变形。然后第一件事情是什么现状？
[00:50:58.982–00:50:59.756] 这还能看见吗？
[00:51:00.614–00:51:03.820] 现状啊，你看陶罗斯的现状不可接受。
[00:51:05.158–00:51:09.484] 正男的现状不可接受，你的现状也不可接受。
[00:51:12.230–00:51:22.924] 从你的生活想啊，你的现状也不可接受，不需要什么后妈虐待你抽你，你看人家也都没有搞得那么激烈啊，不需要每一件事情都那么剧烈。
[00:51:24.070–00:51:25.836] 你就爱咋写咋写。
[00:51:27.142–00:51:30.060] 你的现状反正你的现状现在不太接受。
[00:51:30.726–00:51:32.140] 你对现状不满意。
[00:51:32.710–00:51:39.500] 对吧对现状不好不可接受。然后呢，在现状不可接受的情况下，哎。
[00:51:40.102–00:51:41.484] 想吃兵来雹子了。
[00:51:42.662–00:51:43.756] 激励世界。
[00:51:45.894–00:51:46.732] 基利世界。
[00:51:51.142–00:51:55.404] 或者是说得到一个远方的召唤，你正好觉得家里呆不住。
[00:51:56.198–00:51:58.092] 你得到一个远方的召唤。
[00:51:59.430–00:52:05.356] 得到一个远方的召唤，然后上路上路第一件事情，痛打看门狗。
[00:52:06.726–00:52:07.468] 然后。
[00:52:08.422–00:52:10.124] 开始找你的伙伴。
[00:52:11.110–00:52:12.748] 诶，怎么写了两个半？
[00:52:16.678–00:52:17.612] 找你的伙伴。
[00:52:19.462–00:52:20.620] 找到伙伴之后。
[00:52:22.886–00:52:31.628] 经历在终点之前，经历一系列你开心的事情，你爱咋写咋写。我们说你看他。
[00:52:32.774–00:52:38.380] 跟这个这个对手战斗，你在这里啊，当然也可以设对手啊，你可以设一个明确的对手。
[00:52:39.814–00:52:46.540] 谁在追你？比如说像人家这里如果是个女巫，这个女巫其实就是起一个追的作用。
[00:52:47.270–00:52:49.004] 对吧或者是说叫。
[00:52:50.054–00:52:51.852] huntinging的作用吧，对吧？
[00:52:52.518–00:52:53.580] 就当撵你嘛。
[00:52:54.374–00:52:55.052] 那么。
[00:52:55.590–00:53:07.148] 在这个橘次郎里面呢，没有没有具体的行情，但是呢因为它是现实之路，它会遭遇各种各样的事情。你在这里呢你可以你可以考虑有一个贯穿始终的对手。
[00:53:07.974–00:53:09.356] 你也可以考虑。
[00:53:10.822–00:53:11.660] 把它拆解开。
[00:53:12.134–00:53:13.708] 一路不消停，对吧？
[00:53:14.374–00:53:15.436] 有各种各样的阻碍。
[00:53:17.286–00:53:20.396] 然后终点位置找到你的。
[00:53:21.350–00:53:23.596] 你要去找的那个人，但是呢。
[00:53:25.958–00:53:28.140] 不行不够不对。
[00:53:30.470–00:53:31.180] 重新调整。
[00:53:33.254–00:53:33.836] 重新调整。
[00:53:35.014–00:53:37.804] 调整目标也好，调整赌注也好，重新找。
[00:53:42.630–00:53:43.244] 然后最后。
[00:53:45.190–00:53:46.060] 实现真正的。
[00:53:46.886–00:53:47.372] 你的愿望。
[00:53:49.478–00:53:50.412] 按照这个结构。
[00:53:51.206–00:53:52.012] 写一个命题作。
[00:53:56.422–00:53:58.348] 我提几点刚性要求。
[00:53:59.526–00:53:59.916] 第一。
[00:54:05.574–00:54:09.004] 主角现状激励召唤。
[00:54:09.766–00:54:11.372] 他门狗伙伴。
[00:54:12.198–00:54:12.844] 终点。
[00:54:16.262–00:54:16.876] 全都不能少。
[00:54:20.038–00:54:21.196] 路程前半段。
[00:54:22.374–00:54:26.668] 你爱咋写咋写，这些奇幻的旅程，你路上的遭遇，你爱咋写咋。
[00:54:27.878–00:54:28.716] 我不拦着你。
[00:54:29.702–00:54:34.252] 多离谱都可以，就是写你生活中想干那些没有干过的事儿。
[00:54:36.742–00:54:37.484] 你看啊。
[00:54:38.822–00:54:39.564] 我们说。
[00:54:42.150–00:54:43.500] 绿野仙踪是梦境吧。
[00:54:48.070–00:54:49.932] 所以梦里面你。
[00:54:50.534–00:54:53.068] 全是陶乐斯想看到的那些事情。
[00:54:55.526–00:54:56.716] 看到小儿国。
[00:54:57.638–00:54:59.340] 看到一望无尽的花。
[00:55:00.230–00:55:10.700] 看到那些他认为over the rainbow的地方应该有的那些东西，蓝色的小鸟在天上飞，对吧？所有的梦想都能实现。
[00:55:11.238–00:55:14.828] 地上长出棉花糖，那不就是他的梦吗？
[00:55:16.230–00:55:17.516] 那你以为这不是吗？
[00:55:18.086–00:55:22.572] 你以为橘色郎的夏天不是他们的梦吗？他们前半段来干的这些事儿。
[00:55:23.078–00:55:29.964] 对吧摘荷叶抓青蛙，对吧？游泳、住酒店赢钱。
[00:55:32.486–00:55:33.388] 也是梦想。
[00:55:33.894–00:55:35.244] 电影就是梦想。
[00:55:35.718–00:55:39.340] 所以我给大家打的这几个点，你给我卡死了。
[00:55:39.846–00:55:41.324] 但是也不影响你发挥。
[00:55:42.054–00:55:43.052] 整个中前段。
[00:55:46.118–00:55:52.972] 你假想你离家出走，你踏上征程，你走向远方，你所能经历的那些事儿。
[00:55:54.214–00:55:58.828] 那些让你开心，让你梦寐以生以求的事儿，你都给我写上。
[00:56:00.966–00:56:03.756] 然后写到终点的位置，记住。
[00:56:04.902–00:56:05.548] 给我打住。
[00:56:06.822–00:56:07.308] 调整。
[00:56:07.910–00:56:08.684] 调整目标。
[00:56:09.414–00:56:13.964] 虚假的胜利，虚假失败，加大赌注，重新上路，然后去偿还。
[00:56:14.502–00:56:17.004] 偿还前面惹下的祸也好。
[00:56:17.574–00:56:19.500] 偿还前面走过的路也好。
[00:56:20.582–00:56:21.164] 重新翻转。
[00:56:26.118–00:56:27.468] 然后再提最后一个要求。
[00:56:28.966–00:56:30.732] 这个要求在这堂。
[00:56:31.206–00:56:33.452] 课的作业里面，在这个命题作文里面。
[00:56:33.990–00:56:34.764] 必须给我做到。
[00:56:37.254–00:56:37.676] 叫。
[00:56:41.574–00:56:42.540] 其实都是我。
[00:56:46.246–00:56:47.532] 把这个题给我点出来。
[00:56:49.222–00:56:50.284] 就其实都是我。
[00:56:51.142–00:56:52.396] 啥叫其实都是我。
[00:56:53.382–00:56:55.180] 我们再来看再来回看。
[00:56:55.718–00:56:56.460] 这两个例子。
[00:57:04.998–00:57:05.836] 劳勒斯。
[00:57:07.302–00:57:10.860] 在他的路路程路程上啊，遇到了三个伙伴。
[00:57:13.830–00:57:14.604] 稻草人儿。
[00:57:15.206–00:57:15.852] 铁皮仁。
[00:57:16.390–00:57:17.036] 和狮子。
[00:57:18.822–00:57:20.076] 你说这三个人是谁？
[00:57:25.638–00:57:28.332] 这三个人显然都是陶乐思呀。
[00:57:31.494–00:57:33.580] 他是陶乐斯的三个短板。
[00:57:35.238–00:57:36.332] 因为陶乐斯。
[00:57:36.934–00:57:39.884] 在现状在农场里面惹祸的时候。
[00:57:41.062–00:57:42.316] 家里人骂过他的呀。
[00:57:43.014–00:57:49.644] 妈，你这个人这么缺心眼，你这个人啊就胆小，你这人啊就是你你没有爱心。
[00:57:50.630–00:57:53.036] 他被家里人骂过这三个缺点。
[00:57:56.166–00:58:12.044] 所以他在梦境中梦境中踏上征途，遇到的想要找到大脑的稻草人，想要找到新的铁皮人，想想要找到勇气的狮子，实际都是他自己呀。
[00:58:13.638–00:58:17.100] 他是自己面对所有的问题一路走下来的。
[00:58:17.734–00:58:23.948] 他只是在路上获得了大脑，获得了善良，获得了勇气。
[00:58:25.158–00:58:29.356] 实际都是你你回头看看，你一路上就是自己走过来的。
[00:58:29.894–00:58:31.436] 只不过这是你的梦境。
[00:58:32.326–00:58:35.468] 你害怕你给自己创造了三个伙伴。
[00:58:37.382–00:58:38.604] 这才是绿野仙踪。
[00:58:39.206–00:58:40.396] 本身想讲的。
[00:58:41.254–00:58:42.092] 故事的意义。
[00:58:42.758–00:58:44.204] 当然了，这是个预言。
[00:58:44.966–00:58:46.092] 这就很好解释。
[00:58:46.726–00:58:47.116] 对吧。
[00:58:49.286–00:58:50.220] 我们来看菊次郎。
[00:58:53.350–00:58:56.428] 菊次郎和郑南一老一少。
[00:59:01.734–00:59:02.892] 两个人都没有妈妈。
[00:59:06.886–00:59:07.980] 你不觉得他们俩。
[00:59:10.182–00:59:11.052] 其实也是一个人。
[00:59:16.486–00:59:19.628] 我们说这个片子啊讲述的是郑南的故事。
[00:59:20.710–00:59:25.452] 表面上看主角其实就应该是郑南呀，因为主郑南在推动故事。
[00:59:26.758–00:59:28.716] 但它为什么叫菊次郎的夏天呢？
[00:59:30.502–00:59:31.756] 菊次郎是别鹦鹉呀。
[00:59:34.726–00:59:35.948] 而且很多人。
[00:59:36.838–00:59:41.676] 在第一次看片子没仔细看的时候，都以为那个小男孩就叫菊次郎呀。
[00:59:42.342–00:59:44.556] 所以才会有个疑问，到底谁是局次了？
[00:59:45.126–00:59:45.708] 对吧。
[00:59:49.862–00:59:51.820] 其实谁是菊次郎？
[00:59:53.510–00:59:55.116] 我觉得他们俩都是橘次郎。
[00:59:55.974–00:59:58.764] 橘次王就是一个找妈妈的人呀。
[01:00:01.222–01:00:03.276] 举鱼次郎就是一个找妈妈。
[01:00:07.462–01:00:10.284] 菊次郎代表所有被妈妈抛弃的小孩。
[01:00:11.814–01:00:14.188] 他既是那个大叔，也是那个小男孩。
[01:00:14.822–01:00:16.748] 他们俩就是在找妈妈。
[01:00:17.702–01:00:18.828] 所以他们俩。
[01:00:20.678–01:00:21.772] 也是二合一呀。
[01:00:23.814–01:00:24.940] 你有没有想过？
[01:00:25.574–01:00:26.892] 这个小男孩儿。
[01:00:30.630–01:00:31.756] 他离家出走。
[01:00:33.862–01:00:34.828] 他踏上了。
[01:00:38.214–01:00:40.236] 去远方找他妈妈的路。
[01:00:46.310–01:00:48.876] 怎么会有一个莫名其妙的大叔来帮他呢？
[01:00:51.782–01:00:53.420] 人家图啥呀，人家干啥？
[01:00:55.334–01:00:56.268] 那是不是？
[01:01:00.550–01:01:02.124] 那个大叔代表了勇气。
[01:01:03.590–01:01:05.292] 因为那个大叔一无是处啊。
[01:01:05.766–01:01:14.092] 那个大叔其实不是个好人啊，那个大叔行为没有逻辑，那个大叔可坏了，做各种坏事。其实单看那个大叔那个大叔其实挺不是人的。
[01:01:14.598–01:01:15.052] 是吧。
[01:01:15.750–01:01:18.380] 他他他他他给别人带来很多生命危险。
[01:01:18.982–01:01:20.044] 他做事很过分的。
[01:01:21.894–01:01:23.756] 但是他就是拥有。
[01:01:24.262–01:01:26.188] 我们正担没有的东西。
[01:01:26.694–01:01:27.852] 他有强健的体魄。
[01:01:29.990–01:01:30.732] 然后他有。
[01:01:31.558–01:01:32.076] 勇敢。
[01:01:35.622–01:01:36.076] 所以。
[01:01:40.582–01:01:41.644] 我们的菊次郎。
[01:01:43.366–01:01:44.588] 是真是存在的吗？
[01:01:48.614–01:01:49.612] 他不就是我们。
[01:01:50.982–01:01:52.300] 小男孩的一个分身嘛。
[01:01:56.230–01:01:57.356] 我们反过来说。
[01:02:01.606–01:02:03.308] 如果主角就是菊次郎。
[01:02:04.166–01:02:05.068] 就是被烟舞呢。
[01:02:06.054–01:02:07.276] 那小男孩又是谁呢？
[01:02:09.862–01:02:12.812] 小男孩不就是你小时候吗？
[01:02:16.198–01:02:17.836] 北野五小时候。
[01:02:18.854–01:02:21.196] 就是中年大叔菊次郎。
[01:02:21.798–01:02:24.620] 在小时候和妈妈分开了。
[01:02:27.526–01:02:28.780] 他怨恨他的妈妈。
[01:02:30.150–01:02:31.564] 同时他也想他的妈妈。
[01:02:33.222–01:02:37.260] 他当然会怨恨他妈妈这么多年没有陪他，没有管他，没有爱他。
[01:02:37.926–01:02:41.196] 但是其实在他内心里，他也在想。
[01:02:42.342–01:02:45.004] 是不是我小时候没有去争取一次呢？
[01:02:46.694–01:02:48.204] 没有去找他一次呢。
[01:02:51.654–01:02:53.740] 我如果当时去找我妈妈了。
[01:02:54.406–01:02:55.852] 结局会不会不一样呢？
[01:02:58.662–01:03:01.292] 所以从菊次郎的角度来看这个问题。
[01:03:03.814–01:03:07.340] 菊次郎是不是带上了自己小时候的一个影子？
[01:03:08.070–01:03:09.164] 去找自己的妈妈。
[01:03:14.502–01:03:16.844] 所以菊次郎才会。
[01:03:17.542–01:03:18.636] 在这个时刻。
[01:03:19.750–01:03:22.060] 去敬老院看了一眼他的吗。
[01:03:25.286–01:03:26.412] 但是也并没有相认。
[01:03:27.878–01:03:30.604] 他只是了却了心中的一个结。
[01:03:34.246–01:03:34.924] 当年。
[01:03:37.734–01:03:39.052] 去找或者没找。
[01:03:39.878–01:03:40.716] 又能怎样呢？
[01:03:41.894–01:03:42.924] 又能改变什么呢？
[01:03:44.198–01:03:44.876] 没有必要。
[01:03:47.654–01:03:48.940] 不需要别人来爱。
[01:03:50.214–01:03:50.988] 要自爱。
[01:03:52.326–01:03:54.028] 所以如果从局策郎的角度。
[01:03:54.790–01:03:55.468] 那正南。
[01:03:57.862–01:03:58.540] 真的去了吗？
[01:04:03.270–01:04:04.684] 是不是你自己去的呢？
[01:04:07.078–01:04:09.420] 你带着你小时候的执念去的呢。
[01:04:13.030–01:04:13.612] 所以说。
[01:04:16.678–01:04:17.964] 菊次郎和郑南。
[01:04:18.630–01:04:19.436] 也可以喝。
[01:04:21.542–01:04:22.508] 也可以叫做。
[01:04:23.750–01:04:24.652] 菊次郎的夏天。
[01:04:25.542–01:04:26.124] 没毛病。
[01:04:27.398–01:04:31.244] 你看这就是寓言故事，是明是明着来的。
[01:04:32.966–01:04:34.124] 我这几个人啊。
[01:04:34.662–01:04:39.468] 三个伙伴加一个主角是一个名账，对吧？这个没有以。
[01:04:39.942–01:04:41.388] 但是写实的片子呢。
[01:04:43.398–01:04:44.044] 咋说都行。
[01:04:45.126–01:04:45.996] 咋理解都行。
[01:04:46.502–01:04:47.596] 但是这根线。
[01:04:48.678–01:04:50.444] 这根筋儿是在的。
[01:04:51.110–01:04:53.580] 是存在合二为一的可能性的。
[01:04:54.630–01:04:57.580] 这个就是我们今天命题作文的。
[01:04:58.470–01:04:59.436] 最后一个要求。
[01:04:59.910–01:05:01.036] 也是难点所在。
[01:05:01.574–01:05:06.700] 我希望你们也给我写一个这样的故事。因为前面啊这些啊基本套路很简单的。
[01:05:07.846–01:05:12.620] 很简单的，包括这一段和这一段，你就去发挥你的想象力。
[01:05:13.158–01:05:19.148] 你想经历什么你就经历，然后最后再给我合题，再给我把你惹的事儿再给我全部再兜回来。
[01:05:19.814–01:05:22.700] 对吧但是结局我需要一个。
[01:05:27.846–01:05:29.388] 其实都是我的结局。
[01:05:30.118–01:05:32.972] 就所有的角色其实都是我都是主角。
[01:05:37.190–01:05:38.348] 比如说你看啊。
[01:05:39.622–01:05:42.924] 我们先给你顺一个吧，比如说你看啊主角就是你。
[01:05:44.166–01:05:45.292] 你们最爱写吧。
[01:05:46.086–01:06:02.156] 啊，主角就是我，然后我的现状呢就是哎呀学校老师也不待见我，对吧？啊家里我爸妈也不理解我，哎呀，我的现状不可接受，我我我我孤独，我冷我难啊，学校还有人霸凌我是吧？啊，我就不开心。
[01:06:02.854–01:06:03.468] 然后呢。
[01:06:04.070–01:06:08.780] 然后他们都瞧不上我啊，我功课也不好，对吧？然后呢就没人理我。
[01:06:09.254–01:06:09.836] 我们说。
[01:06:11.366–01:06:18.252] 这就是你比如说然后这就是你的现状啊，不可接受，确实不太舒适啊不可接受。
[01:06:19.110–01:06:20.140] 然后一个激励。
[01:06:20.934–01:06:22.732] 基地就是来自远方的召唤啊。
[01:06:24.902–01:06:28.332] 在咱们绝大多数同学啊不太可能去找妈妈。
[01:06:28.966–01:06:31.564] 对吧也不太可能去找大法师。
[01:06:35.014–01:06:36.044] 找远方的谁呢？
[01:06:37.030–01:06:38.060] 我们见网友吧。
[01:06:39.430–01:06:40.428] 而，我们见个网友。
[01:06:40.934–01:06:41.900] 对吧你看啊。
[01:06:43.142–01:06:44.396] 咱们收拾一下。
[01:06:45.478–01:06:52.236] 你这个故事啊就没有想法的同学，可以顺着我这个写啊，来你的现状我们说。
[01:06:53.414–01:06:59.020] 你先描述一下对吧？你先描述一下你的主角，然后再描述一下你的现状。
[01:06:59.654–01:07:03.884] 现状肯定是往下走，不可接受，好吧，然后得到一个召唤。
[01:07:04.774–01:07:09.804] 得到一个召唤，就现状往下走，召唤往上走，这个召唤的是诱人的。
[01:07:13.094–01:07:17.836] 这样你才能上路呀，对吧？现状往下走，召唤往上走，你才能上路呀。
[01:07:18.310–01:07:20.108] 我们说你看啊咱们大部分人啊。
[01:07:20.966–01:07:25.932] 没有远方的妈妈，也没有什么远方的大法师。但是我们有什么呢？
[01:07:26.950–01:07:27.980] 我们有很多网友。
[01:07:28.582–01:07:31.148] 我们现在的人啊，你看啊你很你有很多。
[01:07:32.230–01:07:33.004] 这个这个。
[01:07:33.766–01:07:34.444] 群。
[01:07:35.110–01:07:37.324] 对吧然后那个各种社交软件。
[01:07:38.246–01:07:39.308] 你肯定有。
[01:07:39.846–01:07:44.108] 某一个人你觉得哎，这个人虽然没见过，但是啊我觉得他不错，对吧？
[01:07:44.838–01:07:46.284] 我们有一个远方的网友。
[01:07:48.422–01:07:48.940] 比如说。
[01:07:49.606–01:07:51.532] 这个召唤你去见一个网友。
[01:07:53.446–01:07:53.996] 有有网友。
[01:07:58.822–01:08:00.748] 那再增强一下动力啊。
[01:08:04.998–01:08:07.692] 见网友为什么那么迫切呢？
[01:08:09.478–01:08:10.284] 女网友。
[01:08:11.078–01:08:12.716] 是吧美女网友。
[01:08:13.190–01:08:13.612] 美女。
[01:08:14.918–01:08:15.692] 而且呢。
[01:08:16.262–01:08:17.068] 对你有意思。
[01:08:18.182–01:08:25.612] 对你有有有示好，好吧，就这个美女对你你有示好，那你的现状就要更low，你在学校需要。
[01:08:26.758–01:08:27.564] 就没人屌你。
[01:08:30.118–01:08:32.108] 对吧你在学校没人屌你。
[01:08:33.990–01:08:34.828] 所以你看啊。
[01:08:35.430–01:08:40.076] 你上路去找这个美女，解决你这个现状问题，那肯定是去找。
[01:08:40.806–01:08:41.516] 小爱情嘛。
[01:08:42.182–01:08:44.460] 对吧当然你可以更具象啊。
[01:08:44.966–01:08:47.532] 把爱情更具象。比如说你想去破除。
[01:08:49.510–01:08:50.892] 啊，这个不就更明确了吗？
[01:08:51.398–01:08:51.884] 对吧。
[01:08:52.806–01:08:55.724] 因为这个美女对你表达了一些。
[01:08:56.454–01:09:02.764] 这个这个这个意思了，对吧？你只要能来是吧？来，你看那么就你不就上路了吗？
[01:09:03.590–01:09:04.716] 你不就上路了吗？
[01:09:06.374–01:09:07.276] 上路来。
[01:09:08.294–01:09:08.972] 看门狗。
[01:09:10.246–01:09:17.452] 自己找好吧，自己找看门狗是学校的小流氓也好，还是那个那个那个。
[01:09:18.886–01:09:25.388] 你们学校的某个老师对吧？一直欺负你的某个教导主任，对吧？你临走之前。
[01:09:26.118–01:09:34.636] 给他把车胎闸了之类的对吧？打掉看门狗，因为为什么要打掉看门狗啊，是要表示你上路的决心和没有退路。
[01:09:35.590–01:09:36.620] 这很重要的啊。
[01:09:37.766–01:09:49.996] 不是说非要真的揍个人啊，痛打看门狗，不是一定要非要揍个人。你看他陶勒斯神这里也没有痛打这个对呃，痛打那个那个那个那个那个女巫呀。
[01:09:52.230–01:09:54.444] 他是不小心把那个女巫压死的呀。
[01:09:55.174–01:09:56.652] 他也不是故意的嘛。
[01:09:57.286–01:10:01.420] 所以通达看门狗啊，不是说你一定要主动攻击某个人。
[01:10:02.374–01:10:09.452] 是斩断你的退路，是斩断你回到现状的退路呀。所以说你如果准备。
[01:10:10.086–01:10:23.468] 逃学离家出走，到远方去见网友了，你把你班主任的自行车带给扎了，而且还被他看到了，然后赶紧跑掉了，这就是痛打看门狗。为什么呢？因为你的现状你回不来。
[01:10:24.646–01:10:29.196] 明白这个意思吧？所以通打开门口自己设计一下，好吧，然后上路。
[01:10:29.862–01:10:31.468] 我们说上路接下来是什么？
[01:10:32.198–01:10:33.772] 是伙伴，对吧？
[01:10:35.014–01:10:37.292] 来，我们说伙伴，你设计一下呀。
[01:10:38.470–01:10:40.396] 伙伴我们说一般是你缺失的呀。
[01:10:41.638–01:10:42.668] 你是一个。
[01:10:44.646–01:10:46.284] 在学校里不受待见。
[01:10:49.286–01:10:51.148] 调皮捣弹的差生。
[01:10:51.878–01:10:54.028] 那你的伙伴就可以设计成一个。
[01:10:54.822–01:10:56.236] 在学校，哎呀。
[01:10:56.998–01:10:58.156] 人见人爱。
[01:10:59.622–01:11:01.292] 还当什么班长。
[01:11:02.758–01:11:03.500] 在优秀生。
[01:11:05.254–01:11:06.156] 乖乖女。
[01:11:07.174–01:11:12.844] 对吧是一个优优优质女孩，优秀生吧，优秀生。
[01:11:14.790–01:11:15.276] 优久生。
[01:11:16.998–01:11:17.708] 我们说你看。
[01:11:19.398–01:11:20.364] 然后你们就上路。
[01:11:20.934–01:11:26.092] 上路了，在这里就上路了，然后你就经历一切你想经历的事儿。
[01:11:26.726–01:11:32.492] 你觉得离开家之后，你能遭遇什么快乐的事儿，惊险的事儿，害怕的事儿。
[01:11:34.022–01:11:35.788] 离奇的事儿，恐惧的事儿。
[01:11:36.838–01:11:39.916] 帮助别人的事儿，别人帮助你的事儿，你往上怼吧。
[01:11:40.454–01:11:41.356] 就大家给我怼上。
[01:11:42.054–01:11:49.996] 对吧带着你的伙伴，带着你的这个伙伴，这个在学校里呃看不上你欺负你呃。
[01:11:50.854–01:11:52.620] 他为什么上路，你自己想着。
[01:11:53.830–01:11:57.644] 他为什么被迫上路跟你共同一个目标，你自己想着。
[01:11:58.118–01:12:16.204] 对吧你写一个人物关系所也可以写一个共同的行动目标行目标源，就目的地是一样的。比如说你俩都想去西双版纳，他有他的事儿，你有你的事儿，你俩都想去三亚，对吧？呃，你去见网友，他人家有别的事儿，但你再见网友，你还不好意思被他知道多丢人呢，对吧？
[01:12:17.126–01:12:17.772] 来上路。
[01:12:18.566–01:12:20.204] 一路上经历的事儿，你自己去写。
[01:12:20.806–01:12:23.276] 来终点，我们说终点位置。
[01:12:24.198–01:12:25.900] 中点位置这个中点线。
[01:12:27.686–01:12:34.380] 找到网友，这肯定要找肯定要见面了，对吧？在这跟我网友见面，但是呢目标不对，重新调整。
[01:12:35.846–01:12:36.300] 嗯。
[01:12:37.894–01:12:38.636] 目标不对。
[01:12:39.302–01:12:39.884] 重新调整。
[01:12:41.574–01:12:42.988] 就肯定办不成。
[01:12:43.526–01:12:44.332] 你出点事了。
[01:12:46.406–01:12:52.268] 那肯定办不成这个事儿。，那这个网友必须是那就有可能就是男的比如。
[01:12:53.030–01:12:56.428] 是男的对吧？网友是个男的。
[01:12:59.334–01:13:01.740] 那接下来会发生什么反转偿还的事情呢？
[01:13:04.198–01:13:10.156] 你在之前的路程当中啊，已经跟这个女孩啊从矛盾啊变得已经。
[01:13:11.142–01:13:13.804] 和解了，甚至产生一些友情了。
[01:13:15.334–01:13:16.588] 或者友情至上了。
[01:13:17.094–01:13:19.532] 对吧就是开始觉得哎，这女孩其实挺好的。
[01:13:20.358–01:13:21.036] 然后呢。
[01:13:22.790–01:13:26.252] 但是呢毕竟你是奔着破那个办大事来的嘛。
[01:13:27.078–01:13:28.716] 结果发现是男的之后呢。
[01:13:29.382–01:13:31.244] 那你回去可能回去又。
[01:13:32.006–01:13:34.604] 觉得还是他好，但是呢人家看上他了。
[01:13:36.134–01:13:36.748] 是吧。
[01:13:37.222–01:13:39.532] 人家这个女孩看上这个男孩了。
[01:13:40.038–01:13:45.036] 然后呢，你就跟这个你本来的网友，这个男的要竞争。
[01:13:45.862–01:13:46.380] 你的。
[01:13:46.982–01:13:53.516] 女孩，所以我们说反转之后偿还嘛，你在整个终点之后就来偿还你之前。
[01:13:55.046–01:13:55.692] 做的事情。
[01:13:56.774–01:13:57.260] 第一。
[01:13:57.894–01:14:14.892] 你跟这个你本来水火不容的优秀生女孩，在学校里完全两个世界的这个女孩产生了感情。现在人家他俩不管是愿意也好，还是被他弄走了也好，对吧？还是被他骗走了也好，你得解决这个问题，你得把他安件带回去。
[01:14:15.718–01:14:19.756] 然后呢，用什么呢？就用你前半段在路上学到的技能。
[01:14:20.550–01:14:21.580] 学到的。
[01:14:23.078–01:14:23.628] 智慧。
[01:14:24.934–01:14:25.612] 善良。
[01:14:26.790–01:14:27.500] 勇气。
[01:14:29.446–01:14:31.916] 去解决你心产生的。
[01:14:33.574–01:14:34.124] 这个危机。
[01:14:39.014–01:14:39.532] 然后。
[01:14:40.998–01:14:41.548] 最后。
[01:14:42.246–01:14:43.404] 我们说结局是什么呢？
[01:14:47.558–01:14:48.364] 结局是。
[01:14:49.510–01:14:50.380] 其实都是我。
[01:14:51.846–01:14:53.932] 这个故事咋咋其实都是我呢？
[01:14:55.046–01:14:57.164] 这故事就挺简单的，其实都是我。
[01:15:05.190–01:15:10.924] 优秀那么优秀的女孩在学校里是个乖乖女，学习又好又当班长。
[01:15:12.294–01:15:13.356] 人家干嘛要离家出。
[01:15:15.590–01:15:18.188] 人家干嘛要跟你一块儿离家出走？
[01:15:20.326–01:15:24.236] 你不觉得之前他说的那个理由有点扯吗？
[01:15:30.406–01:15:32.076] 真这个女孩真的存在吗？
[01:15:36.550–01:15:38.380] 他为什么一切都是跟你相反的？
[01:15:40.070–01:15:42.252] 你又高又壮，他又瘦又小。
[01:15:42.790–01:15:45.132] 泥又粗又黑，人家又白又嫩。
[01:15:45.766–01:15:47.468] 你学习差，人家学习好。
[01:15:48.326–01:15:49.708] 你胆子大，他胆子小。
[01:15:50.182–01:15:51.468] 你是男的，他是女的。
[01:15:52.934–01:15:55.404] 你爱吃肉，他爱吃菜，为什么？
[01:16:01.318–01:16:02.924] 他不就是你吗？
[01:16:04.678–01:16:13.100] 他是因为你你在学校混的这么差，你觉得自己孤独，你觉得没人理你，你生别人的气。其实你最生气的是你自己。
[01:16:14.022–01:16:20.332] 你最看不上的是你自己，你老觉得别人看不上你，最看不上你自己的其实是你自己。
[01:16:21.830–01:16:24.268] 你成天凶巴巴的不跟别人交朋友。
[01:16:24.838–01:16:25.548] 你是。
[01:16:26.566–01:16:29.484] 在自我保护，你是在自我嫌弃。
[01:16:30.790–01:16:33.036] 你何尝不想成为一个？
[01:16:33.606–01:16:34.220] 班干部。
[01:16:35.366–01:16:37.324] 你何尝不想成为一个？
[01:16:39.078–01:16:40.396] 每个人都喜欢的人呢。
[01:16:43.078–01:16:44.492] 所以这个女孩儿。
[01:16:49.478–01:16:49.836] 这个。
[01:16:50.566–01:16:51.916] 各方面都优秀。
[01:16:52.422–01:16:56.460] 爸爸妈妈很疼爱他，你没有爸爸妈妈，人家爸爸妈妈很疼爱他呀。
[01:16:57.510–01:16:58.924] 这样一个优秀的女孩。
[01:17:00.518–01:17:01.548] 就是你的梦想。
[01:17:02.342–01:17:04.364] 我们说你看这两个电影都是梦的呀。
[01:17:04.966–01:17:07.372] 我们说他们本质上都是梦，电影就是梦呀。
[01:17:09.030–01:17:11.212] 这么优秀的女孩，她不就是你的梦吗？
[01:17:11.878–01:17:13.580] 你不就梦想成为这样的人吗？
[01:17:15.942–01:17:16.716] 根本不存在呀。
[01:17:17.542–01:17:24.588] 你有没有想过你们之前你们俩上路那么优秀的女孩，哎，你们俩钱不多，然后去开房的时候开了一间房。
[01:17:26.246–01:17:30.284] 你有没有想过人家这个女孩真的愿意跟你住一间房吗？虽然钱不够啊。
