P057 三十一课-单元剧的创作理念31
[00:47:49.478–00:47:52.844] 这是可以可以复合好吧，关系是可以复合。
[00:47:53.766–00:47:56.620] 当然了，我们再说回去啊，那为什么有这么多人？
[00:47:58.918–00:47:59.884] 为什么有这么多人？
[00:48:00.966–00:48:03.052] 我们说情年喜剧，为什么说？
[00:48:03.622–00:48:05.804] 搞出这么多人物关系，这么多人呢。
[00:48:07.430–00:48:08.396] 人少点不行吗？
[00:48:11.494–00:48:17.900] 因为我们说单言喜剧观众不共情，不入戏啊，他站在上帝视角，你知道吧？
[00:48:19.430–00:48:27.148] 他不是跟着某个人走的，他站在上帝视角，他站在上帝视角啊，人往上帝视角一站，我跟你说就就拽起来。
[00:48:28.614–00:48:35.660] 人一旦拽起来之后啊，他喜欢谁不喜欢谁啊，他会很明确。所以你给他你得给他多几个选择。
[00:48:36.678–00:48:38.348] 而且他还愿意安排CP。
[00:48:39.558–00:48:44.972] 明白这个道理吧？所以你看啊传统的情节喜剧，因为情节喜剧。
[00:48:45.798–00:48:46.252] 跟。
[00:48:46.886–00:48:55.788] 当然喜剧啊情情许绪跟任务类探案类的剧有个重大的区别，就是这种剧情啊一般比较轻松，而且里面要伴随着浓重的爱情。
[00:48:56.678–00:49:01.260] 因为轻松的剧情，你要是再没有爱情，那就清汤寡水了。
[00:49:02.918–00:49:05.900] 所以它一般伴随着浓重的爱情元素。
[00:49:06.502–00:49:10.028] 所以在常在常规的单元喜剧里面。
[00:49:10.726–00:49:11.660] 这个人啊。
[00:49:12.134–00:49:13.388] 往往还都不够数。
[00:49:14.630–00:49:16.332] 啊，就是是什么有单调的。
[00:49:17.350–00:49:22.636] 就男女永远不平衡，你别搞三男三女啊，三男三女那就太平衡了。
[00:49:23.750–00:49:25.676] 一般还搞出故意不平衡。
[00:49:26.214–00:49:26.604] 让。
[00:49:27.174–00:49:29.228] 观众有这种组CP的那种。
[00:49:29.894–00:49:38.860] 哎呀，这个积木拼不出来了，你知道吧？这也是一这个这个有些教材上的一种提法，就是让观众产生组CP的时候产生困扰。
[00:49:41.542–00:49:42.956] 你看这就是。
[00:49:43.494–00:49:47.628] 单元喜剧你从设定层面，你需要考虑的一些问题。
[00:49:48.326–00:49:50.028] 你的场景，你的人物。
[00:49:50.854–00:49:51.916] 你的人物关系。
[00:49:52.678–00:49:57.772] 你的人物在剧情推动中起到的作用。
[00:49:58.630–00:49:59.116] 就是这些。
[00:50:01.158–00:50:01.772] 我们说那。
[00:50:02.278–00:50:04.908] 这些都设定完了，那我一级一级整吧。
[00:50:05.766–00:50:06.796] 一级一写啥呢？
[00:50:07.558–00:50:10.860] 在教材上啊用的词儿，我觉得翻的不太好。
[00:50:11.334–00:50:12.300] 翻程叫。
[00:50:13.734–00:50:14.508] 情境。
[00:50:15.462–00:50:18.572] 每一集遇到情境，但它的原文叫situation。
[00:50:19.110–00:50:19.500] 对吧。
[00:50:20.998–00:50:23.180] 其实就是遭遇吧，situation。
[00:50:24.006–00:50:25.644] 那其实你就可以参考。
[00:50:26.150–00:50:33.004] 参考之前我提过了什么乔治perie说的什么36种situation，比如说。
[00:50:33.894–00:50:34.348] 复仇。
[00:50:35.366–00:50:38.732] 比如说求告对吧？比如说奸情。
[00:50:39.398–00:50:40.588] 对吧比如说。
[00:50:41.446–00:50:42.060] 机遇。
[00:50:42.630–00:50:44.236] 什么误会呀。
[00:50:45.254–00:50:46.348] 冒险呀。
[00:50:46.854–00:50:52.236] 竞争呀对吧？博弈呀，这些都是标准的situation。
[00:50:52.870–00:50:57.356] 那些东西啊可以给你一些启发。当然啊是基于你的设定啊。
[00:50:57.862–00:50:59.884] 比如说你这一季要出去冒险。
[00:51:00.390–00:51:05.804] 每一个千年喜剧，每一个单元喜剧在每一季里都会出去冒险一次，自己回去看。
[00:51:08.230–00:51:14.028] 都会出去冒险一次，走出他们的小房子，出去冒险一次。你去看什国大爆炸，你去看任何一个都会跑去。
[00:51:15.654–00:51:16.620] 为什么会出去冒险？
[00:51:17.894–00:51:31.468] 这是一种又一种新的剧情形式，但是依然跳脱不开你之前设定好的人物关系，你的永动机制，你的谁谁是谁去去冒险的时候，惹事的那个还惹事儿，明白吗？平事儿的还平事儿。
[00:51:32.230–00:51:33.772] 所以就是这就是。
[00:51:34.630–00:51:38.764] 情景喜剧或者叫单元喜剧的一般构建思路。
[00:51:40.294–00:51:41.068] 一般构建思路。
[00:51:41.894–00:51:43.180] 你捏好这些。
[00:51:44.806–00:51:46.220] 结构上就不会出问题了。
[00:51:46.918–00:52:02.956] 那洗不洗得起来，这个就要看你了，对吧？这就要看你本事了，或者我看我们后面再慢慢训练嘛，这个就不是一堂课能解决的了。所以如何能够更好笑啊，这个就不是一节课能解决的。我先把这个原理告诉大家，好吧，这就是单元句。
[00:52:03.750–00:52:04.748] 呃，单元喜剧。
[00:52:05.478–00:52:08.780] 或呃其中包含情力喜剧，就是这么一个基本的。
[00:52:09.254–00:52:11.756] 构建思路。那我们来总结一下来。
[00:52:12.678–00:52:15.532] 我们说缺点是啥？哎，这缺点怎么被我擦了？
[00:52:16.102–00:52:18.092] 咱们背背啊，缺点是粘度低。
[00:52:18.822–00:52:21.004] 这个这个这个模式容易单一。
[00:52:21.478–00:52:24.236] 然后呢，这个这个蓄事规模小。
[00:52:24.742–00:52:33.164] 然后似乎没有什么内涵，对吧？这四个缺点，我们说优点我们已经都发挥了，通过这些设定已经都发挥了。那缺点我们怎么去弥补呢？
[00:52:33.734–00:52:36.076] 年度低怎么去弥补呢？我们说啊。
[00:52:36.582–00:52:38.476] 基本上用人物关系去言。
[00:52:39.046–00:52:41.996] 基本上用人物关系几年啊，一般来说。
[00:52:42.534–00:52:45.132] 就要有一对人的感情比较复杂。
[00:52:47.622–00:52:50.412] 比如说啊最简单常用的就是谁追求谁。
[00:52:51.654–00:53:04.332] 爱而不得，对吧？或者对他的爱没有表白，或者两个人我爱他，他也爱我，观众能看到你爱他他也爱你。但是呢两个人没有表达，没有表达呢就让观众很着急。
[00:53:04.902–00:53:08.492] 或者是呢我来到这个地方呢，实际上是想杀了他。
[00:53:09.190–00:53:10.796] 因为我认为他杀了我父亲。
[00:53:11.270–00:53:15.148] 但实际上观众从观哎你们要一定要记住啊，观众在上帝视角。
[00:53:16.070–00:53:16.940] 什么叫上帝视角？
[00:53:17.446–00:53:18.380] 洞悉一切啊。
[00:53:19.366–00:53:19.916] 明白吧？
[00:53:20.454–00:53:21.612] 不要瞒着观众啊。
[00:53:22.758–00:53:29.388] 单元喜剧里面理论上给观众的信息越多，观众的爽感越强。
[00:53:30.150–00:53:32.492] 所以我刚才说的这一切都是观众知道的。
[00:53:33.350–00:53:36.140] 我来到这里，实际上是想找你报仇。
[00:53:36.934–00:53:37.484] 我杀你。
[00:53:38.662–00:53:45.356] 然后假装你的同事室友现在跟你生活在一起，伺机杀了你。因为我认为你杀了我父亲，但实际上呢。
[00:53:45.894–00:53:49.100] 你并没有杀我的父亲，你反而是我父亲的朋友。
[00:53:50.374–00:53:51.276] 这一切观众都知。
[00:53:53.638–00:53:54.028] 都知道。
[00:53:54.662–00:53:58.092] 不要瞒着观众啊，在担任喜剧动员，信息都给观众。
[00:53:58.822–00:54:00.972] 你看这是不是也可以增加年度呢？
[00:54:01.574–00:54:02.956] 它其实也是人物关系的一种。
[00:54:03.622–00:54:04.012] 好吧。
[00:54:04.486–00:54:09.164] 也是人融关系的一种。然后来剧情模式比较单一，又是一种。
[00:54:10.182–00:54:12.844] 怎么呃也也是也是一个劣势，我们怎么解决呢？
[00:54:13.798–00:54:20.396] 就是我们的situation啊要经常换，懂吧？不要老是去遇到一种情情况的事情。
[00:54:20.966–00:54:25.068] 事情有多种多样呢？你要发挥它去是灵活的优势。
[00:54:25.702–00:54:36.044] 就是因为他可以遇到各种各样的事情，你不要总是基于肖eldon的缺点，肖don的缺陷总是让他吃一样一样，在一样的问题上一样吃鳖。
[00:54:36.582–00:54:38.284] 懂吗？不要进么去重复。
[00:54:39.110–00:54:39.660] 我们说。
[00:54:40.518–00:54:47.692] 确实规模比较小的问这个劣势怎么规避呢？那我们就是把连续的东西给它加强。
[00:54:48.454–00:54:53.036] 也就是我经常说的那个单元句里面的暗线，把那条暗线做强。
[00:54:53.894–00:54:57.196] 暗线做强，对吧？如果是条感情线，把那条感情线做强。
[00:54:58.726–00:55:00.684] 一定程度上增强叙事规模。
[00:55:01.798–00:55:02.284] 那么。
[00:55:03.814–00:55:07.052] 第四个缺点就是显得那么没有内涵。
[00:55:08.134–00:55:09.260] 这个问题怎么去规避呢？
[00:55:09.894–00:55:10.828] 这个问题我们就不管。
[00:55:11.974–00:55:15.532] 没有内涵，对吧？你说没有内涵就没有内涵了。
[00:55:16.262–00:55:18.092] 好看不就可以了吗？对不对？
[00:55:20.550–00:55:21.100] 单元喜剧。
[00:55:21.798–00:55:22.828] 我们说第二个门类。
[00:55:23.654–00:55:25.132] 看案类的任务类的。
[00:55:26.054–00:55:27.468] 我们也来研究一下。
[00:55:28.486–00:55:29.580] 我们说任务类啊。
[00:55:30.918–00:55:31.916] 他也是单元句。
[00:55:32.486–00:55:37.932] 他有很多任务类的剧啊，人家也带喜剧元素，但是他为什么不归在单言喜剧的？
[00:55:39.078–00:55:39.756] 类型里面。
[00:55:41.798–00:55:43.692] 那这个类型他有什么自己的特点？
[00:55:45.126–00:55:46.028] 他就是这个任务。
[00:55:46.854–00:55:48.620] 就是这群人干什么？
[00:55:49.350–00:55:50.028] 这件事儿。
[00:55:50.534–00:55:51.660] 是比较明确的。
[00:55:53.446–00:55:55.180] 而且也是我看这个剧的。
[00:55:55.910–00:55:59.084] 呃，根本目的。比如说我点开一个芝加哥警署。
[00:56:00.710–00:56:03.788] 我肯定不是为了去看副警长跟。
[00:56:04.390–00:56:06.444] 那个法法医之间的爱情。
[00:56:07.462–00:56:08.108] 明白吧？
[00:56:08.806–00:56:12.972] 他俩也可能有爱情，但那绝对不是我要看的东西。
[00:56:13.894–00:56:15.276] 绝对不是我要看的东西。
[00:56:15.814–00:56:16.748] 我要看的。
[00:56:17.670–00:56:18.284] 是这个任务。
[00:56:19.078–00:56:19.628] 很明确。
[00:56:20.134–00:56:22.828] 所以主角团队的行动目标。
[00:56:26.854–00:56:30.284] 是非常明确的，而且是吸引观众。
[00:56:30.854–00:56:33.164] 观看此类片子的最根本的。
[00:56:34.342–00:56:38.028] 实习医生格雷对吧？每集都是。
[00:56:38.534–00:56:40.044] 好，实习医生格类是连续的。
[00:56:40.806–00:56:52.812] 呃，就是那个那个什么急诊室的故事，对吧？梅一集强调一个人，警警察类的、律证类的、抓鬼类的对吧？我看的是你的行动目标，我看的是你破案。
[00:56:53.798–00:56:55.628] 这个才是我最要看的东西。
[00:56:56.134–00:56:57.036] 我最后看这个了。
[00:56:58.310–00:57:02.732] 所以说这一类的片子它有明确的受众，明确的目标。
[00:57:03.334–00:57:08.812] 你这就这这这群主角假设就是探案片，你这群主角每一季都给我探案。
[00:57:10.022–00:57:11.500] 你按要是看不明白。
[00:57:12.614–00:57:14.444] 你这两个人的爱情做的再凄美。
[00:57:14.918–00:57:20.108] 他跟他之间再有仇，他跟他之间再是竞争关系、追求关系、三角关系都没有用。
[00:57:20.742–00:57:21.740] 我主要是看那个。
[00:57:22.694–00:57:27.084] 所以说这是这类行动类的片子，它最大的特点就是它有个明确的行动目标。
[00:57:27.686–00:57:31.532] 你是要破案还是要打官司，还是要他们救治病救人？
[00:57:32.294–00:57:33.068] 必须非常明确。
[00:57:33.734–00:57:35.500] 好吧，这是这种类型的片子。
[00:57:36.294–00:57:42.700] 那么这种类型的片子，我们说它先天的我们的主角团队，我们的主角团队。
[00:57:43.590–00:58:01.260] 主角一般也是团队啊，因为我们说这个不管是什么单元句，不管是什么单元句，都符合这个啊，都是4到6这么一个设定啊，都是4到6这么一个设定。那他显然是一个团队，他必须有一个共同的行动目标。我们说共同的一个行动员。
[00:58:01.926–00:58:13.100] 对吧那这就符合我们之前给大家讲过的主角团队一旦有一个共同的行动员的话，那么每个人的私事儿。
[00:58:14.278–00:58:15.532] 资自的那个事儿。
[00:58:16.486–00:58:18.764] 需要与行动员。
[00:58:20.550–00:58:20.972] 将继。
[00:58:22.950–00:58:24.716] 只要与主线人物相抵触。
[00:58:25.926–00:58:26.668] 比如说在。
[00:58:27.174–00:58:28.460] 探岸之余。
[00:58:29.254–00:58:30.604] 我想谈个恋爱。
[00:58:31.430–00:58:32.268] 请你放心。
[00:58:33.414–00:58:35.852] 这个女朋友后面一定要犯事。
[00:58:37.350–00:58:38.220] 他要么是。
[00:58:38.886–00:58:40.844] 犯罪嫌疑人要么是受害者。
[00:58:41.798–00:58:42.220] 你去看。
[00:58:42.982–00:58:44.140] 主角团队。
[00:58:44.774–00:58:46.572] 的人只要有私事儿。
[00:58:47.622–00:58:50.220] 一定要与我们的主行动员。
[00:58:50.886–00:58:51.372] 讲抵数。
[00:58:52.614–00:58:54.092] 降低处，这就是。
[00:58:54.694–00:58:55.340] 这类片子。
[00:58:56.070–00:58:57.036] 的一个特点。
[00:58:57.830–00:59:01.772] 然后主角团队的设定当然也符合这个4到6，好吧。
[00:59:03.302–00:59:06.764] 那么跟这个喜剧有个什么样重大的区别呢？
[00:59:07.910–00:59:16.492] 主角团队因为有一个非常明确的行动目标，那么主角团队的人物设定就不是这样的了。
[00:59:17.190–00:59:19.052] 就不是这样的喜剧人物设定了。
[00:59:19.718–00:59:24.012] 主角人物团队的设定更像超级英雄。
[00:59:25.350–00:59:26.604] 更像超级英雄。
[00:59:27.078–00:59:33.836] 也就是说，每个人要有比较明确的技能和缺陷。
[00:59:37.126–00:59:38.796] 比较明确的技能和曲线。
[00:59:39.814–00:59:42.028] 但是这个技能和缺陷是咋设定呢？
[00:59:43.206–00:59:44.076] 不要瞎设的。
[00:59:44.934–00:59:47.372] 明白吧？比如说你设定我的这个。
[00:59:48.038–00:59:49.484] 警察的缺陷是结巴。
[00:59:50.662–00:59:59.628] 这个缺陷就不是那么狠缺陷，他只要开枪牛逼，接巴不接吧无所谓。但是如果是个律正系，它是个结吧，那这个设定是有效的。
[01:00:00.710–01:00:09.068] 也就是啥意思呢？这个技能和缺陷是需要与主行动目标主行动员有关的，否则就是无效设定。
[01:00:09.830–01:00:10.348] 明白吧？
[01:00:10.854–01:00:11.660] 因为。
[01:00:12.166–01:00:20.716] 任务类的单元句一切服务于我们的这个主行动目标。所以我们主角团队的技能和缺陷必须。
[01:00:21.222–01:00:23.532] 技能能帮助到这个行动目标。
[01:00:24.006–01:00:25.484] 缺陷能耽误这个行动目标。
[01:00:26.662–01:00:31.372] 假设你的行动目标是探案，那每个人需要有探案不同的技能。
[01:00:31.878–01:00:33.708] 以及如果自己有缺陷的话。
[01:00:34.182–01:00:35.372] 缺陷是要影响他按的。
[01:00:36.550–01:00:40.876] 这就是这类片子，另外一个不同于其他片子的特点。
[01:00:41.414–01:00:41.868] 还有。
[01:00:42.822–01:00:46.540] 这类片子还有一个重要的特点，就是任务类的。
[01:00:47.622–01:00:51.180] 片子还有一个重要的特点，就是这类片子啊。
[01:00:52.582–01:00:54.060] 没有实际意义上。
[01:00:55.206–01:00:56.460] 比如说我们看探案片。
[01:00:57.254–01:00:59.596] 每集的那个案子要是足够精彩。
[01:01:00.582–01:01:02.252] 实际主角是那个杀人犯。
[01:01:04.454–01:01:06.604] 你说人为什么爱看犯罪的片子？
[01:01:07.974–01:01:09.004] 你们明白这个道理吗？
[01:01:10.566–01:01:12.748] 为什么罪暗片是全球。
[01:01:13.350–01:01:15.052] 影片里面的第一大题材。
[01:01:17.094–01:01:20.076] 我上节课说过影视是个梦。
[01:01:21.702–01:01:23.116] 影视是个梦啊。
[01:01:24.582–01:01:26.796] 影视作品是人类共同的梦了。
[01:01:27.878–01:01:30.188] 所以电影电视剧是描绘人类的梦的呀。
[01:01:32.038–01:01:32.652] 所以是我。
[01:01:34.918–01:01:35.468] 明白吗？
[01:01:37.094–01:01:38.892] 犯罪是每一个人的梦。
[01:01:40.134–01:01:43.212] 没人拦着你们的话，你们都想犯罪。
[01:01:44.230–01:01:44.940] 懂吗？
[01:01:46.502–01:01:49.804] 我们可能现在被我们受的教育。
[01:01:50.310–01:01:52.428] 被道德给压制住了。
[01:01:52.934–01:01:54.316] 但如果他不压我们。
[01:01:57.062–01:01:58.092] 犯罪是个梦。
[01:01:59.654–01:02:07.084] 这也为这也是为什么红蜘蛛红问号当年能那么火呢，是吧？为什么那么火呢？
[01:02:08.614–01:02:10.476] 上节各位说过呀，性和暴力。
[01:02:11.206–01:02:12.332] 电影的根基。
[01:02:13.638–01:02:14.764] 犯罪是个梦啊。
[01:02:15.622–01:02:16.812] 那谁在犯罪啊？
[01:02:17.542–01:02:18.796] 罪犯在犯罪呀。
[01:02:20.230–01:02:25.452] 罪犯啊从实际意义上来说啊，其实是这类片子的主角。
[01:02:26.694–01:02:32.140] 你哪怕你这个案，哪怕你这个所谓的主角团队里面是福尔摩斯跟华生的。
[01:02:34.022–01:02:38.444] 你给他们来设定再多的花里胡哨的人物关系，花里胡哨的。
[01:02:38.950–01:02:42.252] 人物技能花里胡哨的那种爱恨情仇。
[01:02:44.294–01:02:47.788] 主角啊我们看什么呢？还是。
[01:02:48.646–01:02:49.708] 每一级的犯罪。
[01:02:50.470–01:02:53.804] 这也是为什么你们去看西方的最案题材片。
[01:02:56.038–01:02:59.276] 我不敢说10个有9个吧，10个有8个。
[01:03:01.958–01:03:02.796] 第一集。
[01:03:03.398–01:03:04.748] 是连环检查案。
[01:03:08.230–01:03:08.748] 为啥呢？
[01:03:09.766–01:03:16.236] 因为这是你能想到的最可怕的犯罪了，连环杀人的话都没有连环，因为他又奸又傻。
[01:03:18.022–01:03:19.692] 对吧又奸又傻。
[01:03:20.902–01:03:21.996] 连环奸杀人。
[01:03:22.950–01:03:24.300] 那么滑稽少女。
[01:03:25.062–01:03:33.836] 女孩嘛？我不是说女人最能引起女性最能引起呃女性受害引起大家的共情嘛，对吧？老妈老婆女儿嘛。
[01:03:36.646–01:03:37.196] 所以。
[01:03:37.830–01:03:43.852] 在这类题材当中，我们需要知道爽感是什么呢？爽感就是每一集的案子要大。
[01:03:44.582–01:03:46.092] 看出殡不怕事儿大。
[01:03:47.334–01:03:49.484] 每一集的案子要大要狠。
[01:03:50.022–01:03:53.324] 我们的这些人呢其实就是一双一双眼睛。
[01:03:54.342–01:03:54.860] 线索。
[01:03:55.398–01:03:57.516] 带着大家去经历这个过程。
[01:03:58.310–01:04:06.508] 带大家去经历这个过程。当然了，我们为了尽量还是我说的那句话啊，扬长避短啊，我们必须保住这个优势。
[01:04:07.430–01:04:08.652] 优势是啥来着？
[01:04:09.254–01:04:10.380] 就是这类片子。
[01:04:11.014–01:04:17.996] 因为也具备单言剧的所有的特征，就是单极灵活。这个啊你故事丰富，你去去找案子吧。
[01:04:18.982–01:04:22.284] 你能找到最好的那种案子，你就往里安吧，观众就要看。
[01:04:23.046–01:04:25.356] 观众最想看的就是那个你得把这个保住。
[01:04:26.374–01:04:27.116] 洋茶。
[01:04:27.622–01:04:28.844] 然后B端是什么呢？
[01:04:29.318–01:04:30.412] 这类片子啊观众。
[01:04:31.014–01:04:31.980] 不看主角了。
[01:04:33.190–01:04:37.196] 对吧完全不看了完全不看了也不行啊，完全不看了，那不是看新闻了嘛？
[01:04:39.590–01:04:40.076] 对吧。
[01:04:41.286–01:04:46.572] 你的主角再去加强，加强主角的人物关系，人物动机、人物弧线。
[01:04:47.046–01:04:51.852] 加强主角的这个这个这个参与感，这就是我为什么刚才说的。
[01:04:52.358–01:04:55.596] 主角如果有私事的话，一定要与主线目标犯冲啊。
[01:04:56.550–01:04:58.284] 明白吗？你这个。
[01:04:58.854–01:05:03.180] 连环奸杀案的这个凶手，你去看这类片子。
[01:05:03.718–01:05:08.716] 最后肯定要奸到我们警察局某一位同志的家人身上。
[01:05:10.438–01:05:11.052] 明白吧？
[01:05:12.774–01:05:13.388] 明白吧？
[01:05:14.214–01:05:15.340] 这就是把那个。
[01:05:15.974–01:05:19.372] 把我们的这群看似像旁观者的主角硬生生的。
[01:05:21.062–01:05:21.516] 拽回来。
[01:05:22.054–01:05:24.172] 弊短，扬长避短的弊短。
[01:05:25.446–01:05:26.924] 他们也给带进去。
[01:05:28.966–01:05:31.948] 然后如果是律政戏打官司那种戏。
[01:05:32.870–01:05:35.436] 最后肯定要打自己的案子呀。
[01:05:37.030–01:05:39.884] 对吧肯定自己家里人也陷进去了呀。
[01:05:40.390–01:05:58.956] 然后让观众既看了案子，看了爽感，然后又替我们的主角担心了一把，硬生生的把观众给拽过来。这就是这类片子的常用技巧，也是在扬长避短，明白这个道理吧？这类片子啊必须担心喜剧啊，他是。
[01:05:59.782–01:06:01.900] 允许我们做一定的。
[01:06:02.726–01:06:04.492] 人物关系变化和人物关系成长。
[01:06:07.046–01:06:12.812] 明白这个意思吧？因为我们不是需要靠，因为我们不需要靠人物关系去驱动。
[01:06:13.798–01:06:14.636] 喜剧结构了。
[01:06:15.302–01:06:21.900] 不需要靠人物关系去驱动了。我们靠的是大要案是吧？案子带劲来驱动。
[01:06:23.014–01:06:34.444] 来驱动剧情。所以说这类片子啊半闭合的更多，剧情半闭合的更多，你人物可以有成长，可以有变化，对吧？可以有成长有变化，人物关系可以有变化，人物可以有弧线。
[01:06:35.654–01:06:39.628] 所以呢在这类片子中，你甚至都可以买一条那种。
[01:06:40.166–01:06:44.524] 颠覆性的大阴谋大暗线。我不是说过吗？增加单元句的。
[01:06:44.998–01:06:51.436] 年度最好的方法就是埋暗线嘛，大家喜剧里面往往买点爱情，这个里面完全就可以买点复仇啊。
[01:06:52.070–01:06:57.356] 买一种对人物关系产生重大颠覆的那种反转的那种大限。
[01:06:57.926–01:07:01.452] 完全可以埋啊，不用不用不用担心，是可以做的。
[01:07:04.230–01:07:05.708] 这节课呢就是通过。
[01:07:07.270–01:07:10.316] 我们上节课这个这个给大家介绍的这种思路。
[01:07:11.622–01:07:14.188] 学习每一样每一个单品的时候啊。
[01:07:14.694–01:07:18.508] 我们要了解它的原理，遵循这个原理进行扬长避短。
[01:07:20.198–01:07:24.972] 讲一讲单元句，算是概述一下吧，一节课也不可能完全讲明白。
[01:07:25.510–01:07:26.924] 大家从里面学点东西。
[01:07:28.710–01:07:33.164] 如果还需要有补充的，我们以后继续探讨。好吧，咱们细水长流。
[01:07:34.822–01:07:36.236] 下节课见，拜拜。
[01:07:36.966–01:07:37.996] 嗯。
