P058 三十二课-跟《鱿鱼游戏》学写强设定
[00:57:31.046–00:57:40.940] 那你说这个这个这个这什么你好，李焕英，那跟那个早年的港片难兄难弟，那是相当像啊，对吧？梁朝伟和梁家辉那个嘛。
[00:57:41.894–00:57:51.660] 我们说其实这种穿越大类啊也都差不多。我们说那跟那个夏洛特烦恼不也挺像的，实际上都差不多啊就是。
[00:57:53.446–00:58:13.500] 我我的建议啊就是强舌定的片子，我们首先研究一下各种分类，研究一下各种分类里面的代表作，然后力求在这种分类下找到它的特点，然后做出自己的创新。这肯定是这种思路。当然了，你有雄才大略。你说我就想做斯皮尔伯格，我要开地图。
[00:58:13.574–00:58:26.572] 开板子也可以也可以。但是你要记住啊，你所谓的开的这个新的规则，新的东西一定要基于现实，是一种比喻，明白吧？否则的话，那就就就属于。
[00:58:27.270–00:58:41.772] 天马行空的异想天开了，对吧？我我们也可以去看一下刘慈欣的各种小说啊，他刘慈欣的想象力，这个是这是全球公认的牛逼，对吧？他也开创了很多呃好玩的规则。
[00:58:42.310–00:59:02.652] 但是呢也都是基于社会的比喻，大部分也都是基于什么阶层呀、贫富呀，对吧？种族隔阂呀、民族隔阂呀，基本上都是还是基于这种社会原有的一些规则去进行放大或者进行夸张比喻。
[00:59:03.206–00:59:04.460] 主要是进行比喻。
[00:59:06.534–00:59:07.436] 嗯。
[00:59:08.646–00:59:17.932] 但是话说回来，我也不是说强设定就就就天下无敌了，对吧？你你你现实主义设定还是有很多。
[00:59:18.566–00:59:22.604] 优势的呀，那现实主义设定我们说首先他如果拍剧的话，那。
[00:59:23.142–00:59:43.420] 他一旦呃那个站住脚了，他他可以拍很多季，知吧？乡村爱情吧？拍始拍拍了十多季了吧，搞不你不在了，他都在是吧？乡村爱情这种那就拍很多季啊，对吧？现实主义，你看那种技术长了都是现实主义题材啊，凡是技术长了都是现实主义题材。
[00:59:45.574–01:00:05.756] 啊，现实主义题实他有自己的优势啊呃他因为它真实嘛，它真实他入戏相对好入，你会觉得这是我们身边确实会发生的事情，很亲切，共情可以更到位。现实主义。那我们就说一下吧啊，来现实主义，我们说现实主义来现实主义它这种故事咋找呢？我们说我们。
[01:00:06.054–01:00:17.132] 强设定我们已经会了，对吧？强设定我们说大概分这么多类型，那我们在每种类型里面，我们自己琢磨琢磨规则，我们其实就可以搞出一个强设定。
[01:00:17.798–01:00:19.180] 世界观的一个。
[01:00:19.750–01:00:33.004] 这么一个选材选题，对吧？然后我们说那现实主义一般是什么选题呢？现实主义啊我觉得啊有有这么几种方法。首先，现实主义选题啊很多是基于新闻素材。
[01:00:35.462–01:00:46.572] 因为现实主义选题啊，你自己生活中能逮到一个好的选题，这种几率就比较小了。就你自己生活能经历到一个，那就比较小了，亲身经历到一个。
[01:00:47.110–01:00:50.604] 所以你看像药神呀这种都是基于。
[01:00:52.422–01:00:53.164] 新闻素材。
[01:00:54.790–01:00:59.916] 真人真事对吧？进行进行进行选材，这是一种。
[01:01:00.646–01:01:11.308] 常见的这个这个这个现实主义的一种选材方式。然后再有呢，其实就是素材浓缩或者叫生活的浓缩。
[01:01:15.014–01:01:18.444] 就是你把很多人经历的事情啊缩在一块儿。
[01:01:18.950–01:01:23.532] 这样的话也能形成一个带有，比如说它带有巧合。
[01:01:24.358–01:01:25.708] 带有巧合的。
[01:01:26.214–01:01:30.444] 我们说很多时候过去讲说无巧不成书啊。
[01:01:31.334–01:01:42.732] 故事得有点巧合，否则你这个故事讲它干嘛，对吧？你说我今天给你讲一个故事啊，就是我周末回家吃饭，我妈给我炒烧了三菜一汤，然后我们吃完饭睡觉了。
[01:01:44.774–01:01:49.612] 这是个事儿，但不是个故事呀，对吧？它没有巧合呀。
[01:01:50.470–01:01:51.500] 没有巧合呀。
[01:01:52.934–01:01:53.580] 所以说。
[01:01:54.374–01:02:09.932] 把生活进行一下浓缩，有时候也会产生一个现实主义题材的故事。比如说我们说失之一合，人就阿布宽周末回家吃饭这么一个故事，他也是要浓缩了很多世间，对吧？浓缩了。
[01:02:10.566–01:02:11.212] 离婚。
[01:02:11.782–01:02:13.580] 浓缩了孩子的。
[01:02:14.374–01:02:17.644] 呃，学费问题浓缩了。
[01:02:18.150–01:02:21.900] 老妈妈生病了，对吧？浓缩了各种各样的事情。
[01:02:23.526–01:02:35.340] 把很多事情浓缩在一起，形成一定程度的巧合，它就可以是一个相对现实主义的题材，对吧？我们说来我们再说个片子，比如说疯狂的石头吧。
[01:02:35.942–01:02:40.620] 疯狂的时候，他其实是一个现实主义选材嘛，这个事情不太魔幻吧。
[01:02:41.158–01:03:02.620] 并不算很魔幻嘛，还算相对现实吧，就是一个一个一个一个老工地老工厂挖出来一个这个老坑翡翠很值钱。然后呢，导致各方笨贼傻贼、牛逼贼都来惦记。然后还有那家贼难防也来惦记，都想来偷这块石头。然后这群人呢机缘巧合，全都。
[01:03:04.262–01:03:16.812] 穿在了一起，互相坑害，坏人自己自己跟自己打架，对吧？其实不就是浓缩一下，然后巧合一下嘛。所以说现实主义题材啊，它往往是就是。
[01:03:17.574–01:03:18.156] 这么玩的。
[01:03:20.838–01:03:34.988] 也还有它的市场啊，我们不要去否定它啊，喜欢现实主义题材的同学啊，不用不用不需要去去懊悔，或者是担心啊，现实主义题材依然有有它的市场。而且啊我再说一句话啊。
[01:03:35.814–01:03:43.180] 现实主义题材和魔幻现实主义题材啊，它的边界呀也没有分的那么清楚。
[01:03:44.294–01:03:47.308] 没有分的那么清楚。比如说我给大家举个例子啊。
[01:03:50.374–01:03:51.660] 西红柿首富。
[01:03:52.518–01:03:59.852] 哎，我们麻花的片子啊大部分是强设定，你发现了没有？麻花为什么这几年崛起了？
[01:04:01.446–01:04:06.636] 因为啊强设定的片子就是这几年才崛起的，以前没有人弄啊。
[01:04:07.430–01:04:14.732] 以前你敢想说我在大荧幕上弄一个穿越电影，人家觉得你跟闹着玩似的，你知道吗？穿越电影是B级片啊。
[01:04:16.134–01:04:31.052] 小众的闹着玩的花不了几个钱的。但确实夏洛特烦恼就是个BG片啊，就是没花多少钱呀，羞羞的铁拳也就是一个BG片啊，但是人家不就逆袭了嘛，对吧？达到了A级片的体量嘛？
[01:04:31.782–01:04:32.492] 所以你看。
[01:04:32.966–01:04:36.364] 麻花的片子啊大部分是抢设定。
[01:04:36.902–01:04:38.348] 魔幻现实主义。
[01:04:40.518–01:04:42.892] 但是我们说啊。
[01:04:44.198–01:04:45.900] 西红市首富啊。
[01:04:46.630–01:04:50.412] 你说他是现实主义还是磨坏现实主义，其实都可以。
[01:04:52.422–01:04:55.692] 来一个人突然继承了2亿。
[01:04:57.862–01:04:58.892] 现实吗？
[01:04:59.878–01:05:00.620] 也有。
[01:05:01.254–01:05:07.948] 有这种情况，你家里有个亲戚有20亿，然后他也没有别人，你算是雪原最近的叫20亿给你了。
[01:05:09.350–01:05:10.988] 可以说是现实主义题材。
[01:05:11.494–01:05:16.044] 但是呢你又要在多少天内花完，你看这就魔幻了。
[01:05:16.742–01:05:18.828] 它就相当于一个游戏啊。
[01:05:19.750–01:05:26.924] 他给你一个钱，然后他做庄，你当玩家，给你制定一个规则，有明确的奖励和惩罚。
[01:05:27.814–01:05:29.964] 他又是游戏类，这就魔幻了。
[01:05:30.982–01:05:32.556] 所以你看啊这个片子哎。
[01:05:33.670–01:05:35.148] 他其实两边踩。
[01:05:36.070–01:05:49.356] 所以说啥意思啊？就是现实主义跟魔幻现实主义啊，在有些片子里面啊分的也没有那么开。咱们话再说回来，由于游戏当然是魔幻现实主义。但是啊我们说会不会真的有人这么干。
[01:05:50.182–01:05:57.772] 我跟你说，有钱人真的有钱到一定程度，变态到一定程度，搞不好真他妈抓一群流浪汉去互相厮杀了。
[01:05:59.174–01:06:00.044] 说不定有呢。
[01:06:00.646–01:06:02.764] 是吧没法说呀。
[01:06:05.190–01:06:06.636] 再给大家说一个。
[01:06:07.174–01:06:11.436] 刚才我给大家还讲过一个片子，是一个剧叫疑犯追踪。
[01:06:12.230–01:06:14.252] 大家回去看一看啊，这个剧非常好看啊。
[01:06:15.398–01:06:17.036] 在这个这个这个呃。
[01:06:17.734–01:06:26.124] 这种类型的片子里面啊，在这个这个这个这这这算什么片子啊，算那个那个算算算刑侦类的片子吧啊。
[01:06:26.726–01:06:30.220] 呃，排名非常高啊，在美剧里面排第一的。
[01:06:30.982–01:06:32.044] 这片呢大家可以看一看。
[01:06:33.222–01:06:34.380] 我们说这个片子啊。
[01:06:35.110–01:06:37.900] 在刚出来的时候啊，他是一个魔幻现实主义。
[01:06:38.470–01:06:47.212] 他讲啊有一种网叫天网连接所有的摄像头，连接所有的电脑，连接所有的数据，连接所有的网络。
[01:06:47.718–01:06:51.660] 然后呢，能够洞悉每个人生活的一切。
[01:06:52.742–01:07:02.892] 能够知道你生活一切的细节，你的消费偏好，你的行为偏好，你的起你的饮食、起居，所有的细节他全都能掌握。
[01:07:03.686–01:07:10.124] 这个东西叫天网，然后他由此可以判断出你的犯罪倾向，你会不会犯罪，你什么时候犯罪？
[01:07:11.334–01:07:23.500] 这个东西刚出来的时候叫魔幻现实主义的一个设定。所以这个剧呢当时让人眼前一亮，是吧？因为它是基于对现社会的一种比喻，大家感觉这种技术似乎是可以的。
[01:07:24.134–01:07:25.420] 社会的一种比喻嘛？
[01:07:26.406–01:07:27.500] 然后大家就很爱看。
[01:07:28.198–01:07:31.948] 但是拍着拍着，这种技术现在其实实现了，你知道吗？
[01:07:32.678–01:07:34.924] 大数据现在已经完全实现这个。
[01:07:36.070–01:07:36.652] 都洗了。
[01:07:37.574–01:07:40.908] 所以其实他现在又成了了一个现实主义的片子了，我感觉。
[01:07:41.542–01:07:45.772] 你看这也是这个片子为什么长寿这个片子也拍了十际了吧。
[01:07:46.342–01:07:47.372] 十几G了。
[01:07:48.102–01:07:53.548] 一个魔幻现实主义的片子如何这么持久呢？因为它变成现实主义了。
[01:07:54.566–01:07:59.980] 随着这几年科技的发现，发展，他这个所谓的天网就是现在的大数据嘛。
[01:08:00.550–01:08:01.548] 已经实现了。
[01:08:02.406–01:08:10.604] 对吧所以我说这些什么意思啊？就是所谓的现实主义跟魔幻现实主义啊，界限没有那么明确，有些片子就卡在当中的。
[01:08:11.142–01:08:12.812] 懂吧？所以。
[01:08:14.214–01:08:26.124] 你喜欢写现实主义，接着写没问题。好吧，这节课呢其实就想通过游鱼游序游鱼游戏这个片子着重的给大家讲一讲强设力。
[01:08:26.758–01:08:47.324] 可以是主角有什么能力呀、超能力呀，或者是你的对手呀，特别可怕呀，对吧？是是是是是外来生物呀，或者是鬼呀，是怪兽啊，或者是你的时间上揉搓呀，时间静止了呀，时间倒流了呀，穿越了呀，肉体交换了呀，是吧？灵魂转移了呀。
[01:08:47.782–01:08:52.492] 然后呢或者就是游戏类把一群人关起来做一个什么样的游戏呀？
[01:08:53.286–01:09:14.268] 这个这个我跟你说，其实黄渤那个也严格说也算魔幻现实主义，他那个大家困在一个岛上做游戏，当然是生存游戏啊，当然很残酷啊。但是因为审查的原因，他那个好像不怎么死人，对吧？死人死太少了，那就没意思了。所以他那个片子就这个劲儿太小了，你知道吗？奖励和惩罚劲儿太小了。
[01:09:15.046–01:09:18.252] 然后我们说这种片子你也会知道。
[01:09:19.014–01:09:26.988] 该怎么玩好吧，就这节课主要就想跟大家讲一下强设力。我们通过由鱼游戏学一下强设力。
[01:09:27.622–01:09:28.172] 那么。
[01:09:28.838–01:09:45.996] 这些咱们之前基本上都做过一些训练了啊，我给大家讲过，你拥有什么样的技能，或者是你这个这个穿越了。我们说经常我还给你出过题，你穿越了只能带一样东西，你带啥是吧？这个这个我们说穿越啊往往是这样啊，你看穿越类的片子啊。
[01:09:47.238–01:10:00.876] 往往有两种趋势，一种趋势呢就是强人穿越。你看我为什么反复强调啊，我们今天讲的这种设定方法，其实是世界观的一种设定方法，并不是你的故事类型，是你的故事选材。
[01:10:01.606–01:10:02.796] 对吧因为。
[01:10:03.878–01:10:09.996] 假设啊比如说来你的对手是个鬼，我们说你这个片子里面有鬼。
[01:10:12.646–01:10:22.092] 有外星人或者有神秘力量，有鬼，但是你的故事类型还是可以有各种类型啊。你和这个鬼是好伙伴，那你就是伙伴之情啊，有啊。
[01:10:23.494–01:10:24.428] 变形金刚。
[01:10:24.902–01:10:31.980] 变形金刚大黄蜂不就是外来神力力量吗？他不就相当于一个鬼吗？你和他不就是伙伴吗？
[01:10:32.774–01:10:43.564] 你们俩不就是伙伴之情吗？男主跟变那个那个那个大大黄蜂就是伙伴之情呀，变形金刚一对吧？然后我们说来鬼片来了，来鬼了。
[01:10:45.094–01:10:46.604] 那个那个那个那个鬼屋。
[01:10:47.142–01:10:54.028] 是很常见的嘛，然后还有什么小人物出大事，还有像毒液这种来了鬼了，你变牛逼了。
[01:10:54.758–01:10:56.620] 对吧你成超级英雄了。
[01:10:57.958–01:10:59.820] 所以说故事类型啊。
[01:11:00.806–01:11:06.732] 是另外一个维度的分法。我们今天讲的是选材类型，对吧？选材类型。
[01:11:09.894–01:11:16.492] 我们说穿越类的啊穿越类的，你看啊也有两种故事走向，一种是强人穿越。
[01:11:19.686–01:11:22.380] 项少龙他本身就是个特警。
[01:11:22.854–01:11:30.476] 然后他穿越回秦朝，当了一个大将军。你看你对这种片子的期待就是那他去了肯定大展拳脚啊。
[01:11:31.270–01:11:36.652] 他既有智商，对吧？又有组织能力，而且还有现代化的作战思维。
[01:11:37.446–01:11:39.692] 还有物理搏斗的能力。
[01:11:40.550–01:11:43.116] 你看他去了之后肯定大展拳脚呀。
[01:11:43.814–01:11:44.268] 大量成。
[01:11:44.806–01:11:45.964] 这种就是鱼。
[01:11:46.502–01:12:06.620] 那个那个往上的期待，还有往下的担忧呢，太子飞升之际，一个大老爷们儿穿越了古代，穿越到古代一个妃子的身体里面。那皇帝还要睡他了呀，他如何能够应对对吧？他如何能够在这这个残酷的宫斗中生存下去。
[01:12:07.078–01:12:09.644] 你替他很担心啊，因为他完全不适应呀。
[01:12:10.246–01:12:20.396] 对吧就就是就是穿越类，你如果想写穿越类，你也要了解，你得往这两个方向使劲儿，你要么让观众特别期待，要么让观众特别担忧。
[01:12:22.630–01:12:23.724] 水平转移。
[01:12:24.326–01:12:26.796] 就别搞了，那你穿越过去干嘛？
[01:12:28.198–01:12:34.188] 对吧你说我在我在现实生活中，我在超市当营业员。
[01:12:34.662–01:12:38.764] 然后穿越到古代呢，在一个菜市场卖菜，那你去干嘛呀？
[01:12:39.462–01:12:46.444] 你在原始工作岗位就能把这个事办了呀，还穿入去干嘛呀？明白这个道理吧？没有意思，好吧。
[01:12:47.622–01:13:01.804] 所以这你看每一种类型啊都有自己的要点。那我们说回今天我们的作业为大家布置个作业，我们就借游鱼游戏这个这个这个这个这这个片子，我们就做一个自己的。
[01:13:02.758–01:13:03.692] 由于游戏。
[01:13:04.678–01:13:05.900] 你设计一个。
[01:13:06.534–01:13:07.276] 空间。
[01:13:07.750–01:13:11.372] 然后一群参与者，然后呢，他们呢。
[01:13:11.974–01:13:17.548] 被制定了一个规则，这个规则在这个规则玩法下有奖励和惩罚。
[01:13:18.086–01:13:24.524] 着重要设计的当然是首先设计这个规则，因为这个规则需要是社会规则的比喻。
[01:13:25.222–01:13:28.396] 你可以比喻最常见的阶层。
[01:13:31.206–01:13:32.076] 贫富差距。
[01:13:33.350–01:13:37.932] 当然也可以比喻呃民族隔阂、种族冲突。
[01:13:38.950–01:13:40.108] 这个这个这个。
[01:13:41.606–01:13:45.484] 教育体制是吧，或者是还有什么。
[01:13:46.790–01:13:50.348] 你自己想吧，好吧，你比喻某个东西。
[01:13:51.398–01:13:52.172] 然后嘞。
[01:13:53.606–01:14:00.108] 给我构建一个提案，构建一个方案，好吧，这个这个是这节课的作业。
[01:14:03.110–01:14:05.420] 嗯，差不多到时间了啊。
[01:14:06.086–01:14:08.364] 但是说到作业啊，我得给。
[01:14:09.222–01:14:11.052] 我多说几句啊，跟同学们啊。
[01:14:11.942–01:14:14.156] 就是因为我之前也布置过作业。
[01:14:14.982–01:14:18.636] 然后有一次吧一个同学写了一个作业之后呢，我就。
[01:14:19.174–01:14:24.844] 我其实没有办法，每个同学的作业都看啊，因为咱们同学太多了，但是有一些同学跟我。
[01:14:25.702–01:14:29.740] 就是联系比较多或者是比较早期的学员呢，他的作业我会看。
[01:14:30.598–01:14:33.612] 有一次我印象特别深刻，就一个同学写了一个作业啊。
[01:14:34.086–01:14:38.604] 给我看问我老师写的好不好，反正问我嘛，我说还行啊，有点意思。
[01:14:39.398–01:14:41.676] 然后呢，他就说那我还需要在。
[01:14:42.246–01:14:49.292] 有什么改进吗？我说你这里啊最好再补一补某种对吧？冲突，我说这里可能差点意思。
[01:14:49.862–01:14:51.500] 然后这个同学就很积极。
[01:14:52.550–01:14:53.740] 第二天就发给我了。
[01:14:54.822–01:14:59.788] 第二天就发给我了，就是他补了补了点东西，第二天就发给我了。
[01:15:01.190–01:15:01.996] 把作业给我了。
[01:15:02.950–01:15:10.444] 然后我就我就把这茬给忘了，对吧？这这事儿给忘了。然后过了一段时间啊，这个同学突然发信息给我。
[01:15:10.982–01:15:12.780] 上来第一句话就给我整懵了。
[01:15:13.478–01:15:14.252] 孙老师。
[01:15:15.206–01:15:16.332] 我那个戏啥时候拍？
[01:15:20.550–01:15:21.356] 然后我说啊。
[01:15:22.086–01:15:23.084] 啥戏呀？
[01:15:24.614–01:15:26.220] 他说我上次写的那个呀。
[01:15:27.526–01:15:30.028] 我一下想起来了，我说啊。
[01:15:30.566–01:15:31.468] 我说那个。
[01:15:33.350–01:15:34.988] 那个没说要拍呀。
[01:15:36.838–01:15:37.612] 说啊。
[01:15:38.886–01:15:41.068] 我那天晚上写到两点多啊。
[01:15:43.270–01:15:47.372] 我说那写到两点多，他一共也就3000字呀。
[01:15:49.094–01:15:50.124] 咋拍呀？你。
[01:15:50.950–01:15:55.500] 他说不拍我写他干嘛，我都跟我妈说了。
[01:15:56.326–01:16:00.044] 我说你妈不会已经在家守着中央一套在那等着了吧。
[01:16:01.254–01:16:09.772] 就咱们有些同学啊，因为是网上的同学，我见不到真人，你知道吗？我不太了解每个同学他所处的环境，他的。
[01:16:11.046–01:16:13.132] 他的背景或者是他的理解。
[01:16:13.990–01:16:23.340] 就有些同学就以为我夸，可能就我嘴贱，我就不该夸，你明白我意思吧？我就不该夸，，有点意思。我说了之后，他就以为要拍了。
[01:16:24.390–01:16:44.412] 然后接下来更离谱，我说这这个他就跟我说，那我写到两点多啊，写了几千字，他就要拍了，你明白吧？然后后来更离谱，然后我就说这是练习嘛，哪有这个这个这个这这这再说这几千字咋拍啊？然后他就问我说，他说那。
[01:16:45.222–01:16:47.564] 要不老师，你把这个剧本收了吧。
[01:16:49.478–01:16:53.932] 然后我就说那收了是啥意思啊？是让我出钱吗？
[01:16:56.102–01:16:57.420] 然后说你要多少钱？
[01:16:59.398–01:17:02.348] 他说要300万。
[01:17:06.214–01:17:09.132] 他说他晚上起到两点多，累死了要300万。
[01:17:11.366–01:17:12.300] 哎呦，我的妈呀。
[01:17:13.254–01:17:17.996] 老师，我熬一个夜，熬到两点多也卖不了300万啊，同学们啊。
[01:17:20.550–01:17:21.452] 这个。
[01:17:23.302–01:17:30.220] 哎，当然这位同学没有恶意啊，他只是可能对这个圈子挣钱的速度。
[01:17:31.174–01:17:35.212] 可能受了郑爽的影响啊，受了那些数据的影响啊。
[01:17:35.846–01:17:37.388] 就是他没有恶意。
[01:17:38.854–01:17:45.452] 是这样啊，就是同学们写的东西，我平常给大家布置的作业啊都是练习级别的，就是他。
[01:17:46.790–01:17:48.780] 大家认真练认真写。
[01:17:49.574–01:18:09.980] 对美好的未来可以有想象。但是呢你不要老想着挣我的钱呀，是不是你想挣300万，你往外面挣去嘛，对吧？不要老我那天还跟班委会说，我说哎，为什么因为之前还有一个同学啊，我说我们现在同学多了啊，真的是形形色色的人都有，还有一个同学啊也是问我要几百万。
[01:18:11.462–01:18:13.260] 让我投资他的项目。
[01:18:14.086–01:18:17.004] 投资他的这个这个这个这个剧本。
[01:18:18.182–01:18:19.628] 我且得账口有好几百万。
[01:18:20.358–01:18:23.852] 然后我我那天都在反思这个问题。
[01:18:25.382–01:18:27.596] 我是说我是做了什么？
[01:18:28.390–01:18:30.252] 我是很浮夸吗？
[01:18:30.950–01:18:32.012] 如何让。
[01:18:33.030–01:18:35.820] 有些同学认为我很有钱。
[01:18:36.422–01:18:42.892] 可以到处投资，可以几百万往外撒，是我是做了什么？让。
[01:18:43.526–01:18:48.780] 同学们产生了这样的误解呢，我也没有浮夸到那个程度吧，是吧？
[01:18:49.638–01:19:00.140] 然后呢，后来我们班委会的同学就给我提醒我说，你可能啊就是因为你在课上啊说你年轻的时候资助小孩读书一个月1万块钱。
[01:19:01.702–01:19:09.740] 我说我一个月1万块钱资助小朋友读书，这是实实情。但我那时候一个月也就挣2万多呀。
[01:19:11.046–01:19:31.100] 我并不是说能挣100万，所以拿出一万资助小朋友读书。我说了，我当时二十四五岁不太懂事，所以一个月只挣2万多，我都拿出来1万去资助小朋友。为什么呢？因为那时候太单纯，你知道吧？不知道钱咋花呀，花钱的地方不多。
[01:19:31.334–01:19:33.420] 那时候连酒还都不会喝呢。
[01:19:34.694–01:19:36.332] 不知道钱咋花，你知道吧？
[01:19:38.342–01:19:53.708] 现在我肯定不会做这种蠢事了，拿出一半收入给别人对吧？而且那钱能不能到小朋友手里还两说呢？是不是？所以说大家不要误解啊，我呢就是一个很普通的一个。
[01:19:55.078–01:20:15.676] 不是富豪，也不会把钱到处往外撒，大家不要有这个误解啊，你们好好学习，从市场上挣钱，不要老惦。你看我现在发现同学们逐渐升级了，以前是白嫖白嫖课程，后来呢还想来混吃混住，对吧？我说过有些同学提出来说老师我到你身边。
[01:20:15.750–01:20:24.652] 跟你学习吧，你包吃包住就行了。我说哎怎么还要我包吃包住呢？现在又开始要钱了，这是怎么回事啊，是吧？
[01:20:25.446–01:20:45.628] 这个同学们千万不要这么想啊，这个我今天借这个机会澄清一下，因为今天又布置作业了，我怕很多同学写完之后，我说哎这写的不错，然后他就想卖给我，你知道吗？这个不行啊，这作业就是作业啊，这种就是练习级别的几千个字儿，你想卖给谁去啊。
[01:20:46.310–01:20:53.100] 明白吗？同学们好吧，大家这个这个认真的练习。这个通过由于游戏，我们讲的这个游戏类的这种。
[01:20:53.926–01:21:02.284] 这种这种选材它有些什么样的规则，大家试着去设计一个自己的游戏类题材的小故事，好吧。
[01:21:02.854–01:21:23.228] 我们之前做过穿越类的练习，做过这个超级英雄类的练习都做过啊，大家那个没做过的啊，也可以去琢磨琢磨。总之总结一下这节课，强设定的选材这几年是在走高的，我们不得不承认，对吧？因为它有它的优势，它有它的优势。
[01:21:23.398–01:21:25.996] 而且无论是电影还是剧。
[01:21:26.886–01:21:27.596] 都在走高。
[01:21:28.454–01:21:29.100] 都在走高。
[01:21:29.606–01:21:32.684] 但是现实主义题材我们。
[01:21:33.414–01:21:37.004] 还是要守住，还是要会写会玩，对吧？
[01:21:38.662–01:21:45.740] 他还是有它的魅力的吧，还是有它的魅力的。好吧，这节课先说这么多吧，大家别忘了做作业，下课吧。
[01:21:46.342–01:21:47.308] 嗯。
